COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,BORN_CNT,BORN_M_CNT,BORN_F_CNT,MARRY_B_CNT,CLAIM_B_CNT,NO_CLAIM_B_CNT,ABANDONED_B_CNT,TAIWAN_B_CNT,NON_TAIWAN_B_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,出生數,出生登記男嬰人口數,出生登記女嬰人口數,婚生人數,非婚生已認領人數,非婚生未認領人數,棄嬰或無依兒童人數,本國籍生母之嬰兒出生數,非本國籍生母之嬰兒出生數,資料時間
10014,臺東縣,10014010,臺東市,10014010-003,岩灣里,18,12,6,15,0,3,0,17,1,105Y
10014,臺東縣,10014010,臺東市,10014010-036,東海里,30,15,15,29,0,1,0,30,0,105Y
10014,臺東縣,10014010,臺東市,10014010-045,知本里,10,6,4,10,0,0,0,10,0,105Y
10014,臺東縣,10014010,臺東市,10014010-004,南王里,15,7,8,14,0,1,0,15,0,105Y
10014,臺東縣,10014010,臺東市,10014010-006,南榮里,30,15,15,23,2,5,0,29,1,105Y
10014,臺東縣,10014010,臺東市,10014010-042,建和里,13,2,11,13,0,0,0,13,0,105Y
10014,臺東縣,10014010,臺東市,10014010-017,建國里,6,4,2,5,0,1,0,6,0,105Y
10014,臺東縣,10014010,臺東市,10014010-044,建業里,4,2,2,4,0,0,0,3,1,105Y
10014,臺東縣,10014010,臺東市,10014010-046,建農里,22,10,12,19,1,2,0,21,1,105Y
10014,臺東縣,10014010,臺東市,10014010-043,建興里,6,4,2,6,0,0,0,6,0,105Y
10014,臺東縣,10014010,臺東市,10014010-010,馬蘭里,26,15,11,25,0,1,0,26,0,105Y
10014,臺東縣,10014010,臺東市,10014010-035,康樂里,12,8,4,12,0,0,0,12,0,105Y
10014,臺東縣,10014010,臺東市,10014010-016,強國里,6,4,2,5,1,0,0,6,0,105Y
10014,臺東縣,10014010,臺東市,10014010-001,富岡里,8,2,6,6,1,1,0,8,0,105Y
10014,臺東縣,10014010,臺東市,10014010-002,富豐里,11,8,3,10,0,1,0,11,0,105Y
10014,臺東縣,10014010,臺東市,10014010-025,復國里,2,1,1,2,0,0,0,2,0,105Y
10014,臺東縣,10014010,臺東市,10014010-027,復興里,2,1,1,2,0,0,0,1,1,105Y
10014,臺東縣,10014010,臺東市,10014010-007,新生里,55,22,33,53,0,2,0,54,1,105Y
10014,臺東縣,10014010,臺東市,10014010-029,新園里,16,12,4,15,0,1,0,15,1,105Y
10014,臺東縣,10014010,臺東市,10014010-037,新興里,7,4,3,6,0,1,0,7,0,105Y
10014,臺東縣,10014010,臺東市,10014010-026,興國里,9,4,5,9,0,0,0,9,0,105Y
10014,臺東縣,10014010,臺東市,10014010-030,豐田里,17,9,8,15,2,0,0,16,1,105Y
10014,臺東縣,10014010,臺東市,10014010-031,豐年里,28,17,11,25,0,3,0,27,1,105Y
10014,臺東縣,10014010,臺東市,10014010-039,豐谷里,38,19,19,34,1,3,0,36,2,105Y
10014,臺東縣,10014010,臺東市,10014010-040,豐里里,26,15,11,24,0,2,0,23,3,105Y
10014,臺東縣,10014010,臺東市,10014010-041,豐原里,9,8,1,8,0,1,0,8,1,105Y
10014,臺東縣,10014010,臺東市,10014010-038,豐榮里,68,39,29,66,0,2,0,67,1,105Y
10014,臺東縣,10014010,臺東市,10014010-033,豐樂里,13,4,9,11,0,2,0,13,0,105Y
10014,臺東縣,10014010,臺東市,10014010-009,寶桑里,8,4,4,7,0,1,0,6,2,105Y
10014,臺東縣,10014010,臺東市,10014010-028,鐵花里,1,1,0,1,0,0,0,1,0,105Y
10014,臺東縣,10014030,關山鎮,10014030-004,中福里,5,3,2,5,0,0,0,5,0,105Y
10014,臺東縣,10014030,關山鎮,10014030-007,月眉里,8,5,3,7,0,1,0,7,1,105Y
10014,臺東縣,10014030,關山鎮,10014030-005,里里,10,4,6,9,0,1,0,10,0,105Y
10014,臺東縣,10014030,關山鎮,10014030-003,新福里,8,5,3,8,0,0,0,7,1,105Y
10014,臺東縣,10014030,關山鎮,10014030-006,電光里,6,2,4,6,0,0,0,6,0,105Y
10014,臺東縣,10014030,關山鎮,10014030-001,德高里,12,6,6,11,0,1,0,12,0,105Y
10014,臺東縣,10014030,關山鎮,10014030-002,豐泉里,6,1,5,6,0,0,0,6,0,105Y
10014,臺東縣,10014160,蘭嶼鄉,10014160-001,東清村,15,8,7,15,0,0,0,15,0,105Y
10014,臺東縣,10014160,蘭嶼鄉,10014160-003,紅頭村,10,7,3,9,0,1,0,9,1,105Y
10014,臺東縣,10014160,蘭嶼鄉,10014160-002,朗島村,12,7,5,11,1,0,0,12,0,105Y
10014,臺東縣,10014160,蘭嶼鄉,10014160-004,椰油村,6,3,3,6,0,0,0,6,0,105Y
10014,臺東縣,10014100,大武鄉,10014100-001,大竹村,10,8,2,7,0,3,0,10,0,106Y
10014,臺東縣,10014100,大武鄉,10014100-003,大武村,8,4,4,8,0,0,0,8,0,106Y
10014,臺東縣,10014100,大武鄉,10014100-002,大鳥村,12,5,7,7,2,3,0,12,0,106Y
10014,臺東縣,10014100,大武鄉,10014100-004,尚武村,8,5,3,7,0,1,0,8,0,106Y
10014,臺東縣,10014100,大武鄉,10014100-005,南興村,4,3,1,4,0,0,0,4,0,106Y
10014,臺東縣,10014090,太麻里鄉,10014090-002,三和村,3,2,1,3,0,0,0,2,1,106Y
10014,臺東縣,10014090,太麻里鄉,10014090-006,大王村,12,9,3,10,1,1,0,10,2,106Y
10014,臺東縣,10014090,太麻里鄉,10014090-004,北里村,5,4,1,5,0,0,0,4,1,106Y
10014,臺東縣,10014090,太麻里鄉,10014090-009,多良村,11,8,3,10,0,1,0,11,0,106Y
10014,臺東縣,10014090,太麻里鄉,10014090-008,金崙村,13,5,8,10,0,3,0,12,1,106Y
10014,臺東縣,10014090,太麻里鄉,10014090-001,美和村,10,5,5,8,1,1,0,8,2,106Y
10014,臺東縣,10014090,太麻里鄉,10014090-007,香蘭村,4,0,4,2,1,1,0,3,1,106Y
10014,臺東縣,10014090,太麻里鄉,10014090-005,泰和村,10,5,5,9,0,1,0,10,0,106Y
10014,臺東縣,10014090,太麻里鄉,10014090-003,華源村,2,1,1,2,0,0,0,1,1,106Y
10014,臺東縣,10014020,成功鎮,10014020-003,三仙里,11,4,7,10,1,0,0,11,0,106Y
10014,臺東縣,10014020,成功鎮,10014020-004,三民里,26,18,8,25,0,1,0,24,2,106Y
10014,臺東縣,10014020,成功鎮,10014020-007,和平里,1,1,0,1,0,0,0,1,0,106Y
10014,臺東縣,10014020,成功鎮,10014020-006,忠仁里,17,9,8,15,0,2,0,13,4,106Y
10014,臺東縣,10014020,成功鎮,10014020-002,忠孝里,5,3,2,5,0,0,0,5,0,106Y
10014,臺東縣,10014020,成功鎮,10014020-005,忠智里,12,7,5,11,0,1,0,10,2,106Y
10014,臺東縣,10014020,成功鎮,10014020-008,信義里,8,3,5,6,0,2,0,8,0,106Y
10014,臺東縣,10014020,成功鎮,10014020-001,博愛里,6,2,4,4,2,0,0,5,1,106Y
10014,臺東縣,10014060,池上鄉,10014060-003,大坡村,2,1,1,2,0,0,0,2,0,106Y
10014,臺東縣,10014060,池上鄉,10014060-004,大埔村,3,2,1,3,0,0,0,3,0,106Y
10014,臺東縣,10014060,池上鄉,10014060-010,振興村,3,2,1,3,0,0,0,3,0,106Y
10014,臺東縣,10014060,池上鄉,10014060-009,富興村,4,3,1,4,0,0,0,4,0,106Y
10014,臺東縣,10014060,池上鄉,10014060-007,新興村,4,3,1,4,0,0,0,4,0,106Y
10014,臺東縣,10014060,池上鄉,10014060-008,萬安村,3,2,1,3,0,0,0,3,0,106Y
10014,臺東縣,10014060,池上鄉,10014060-001,福文村,4,1,3,3,0,1,0,4,0,106Y
10014,臺東縣,10014060,池上鄉,10014060-005,福原村,17,8,9,14,1,2,0,16,1,106Y
10014,臺東縣,10014060,池上鄉,10014060-002,慶豐村,4,3,1,4,0,0,0,3,1,106Y
10014,臺東縣,10014060,池上鄉,10014060-006,錦園村,1,1,0,1,0,0,0,1,0,106Y
10014,臺東縣,10014040,卑南鄉,10014040-010,太平村,25,10,15,22,0,3,0,22,3,106Y
10014,臺東縣,10014040,卑南鄉,10014040-002,利吉村,2,0,2,1,1,0,0,2,0,106Y
10014,臺東縣,10014040,卑南鄉,10014040-011,利嘉村,10,8,2,9,0,1,0,10,0,106Y
10014,臺東縣,10014040,卑南鄉,10014040-005,明峰村,9,4,5,9,0,0,0,9,0,106Y
10014,臺東縣,10014040,卑南鄉,10014040-012,東興村,14,7,7,8,0,6,0,14,0,106Y
10014,臺東縣,10014040,卑南鄉,10014040-006,初鹿村,10,5,5,7,1,2,0,10,0,106Y
10014,臺東縣,10014040,卑南鄉,10014040-007,美農村,10,7,3,10,0,0,0,9,1,106Y
10014,臺東縣,10014040,卑南鄉,10014040-009,泰安村,9,3,6,4,1,4,0,8,1,106Y
10014,臺東縣,10014040,卑南鄉,10014040-003,富山村,1,1,0,1,0,0,0,1,0,106Y
10014,臺東縣,10014040,卑南鄉,10014040-004,富源村,1,0,1,1,0,0,0,1,0,106Y
10014,臺東縣,10014040,卑南鄉,10014040-013,溫泉村,5,2,3,5,0,0,0,5,0,106Y
10014,臺東縣,10014040,卑南鄉,10014040-001,嘉豐村,4,1,3,4,0,0,0,4,0,106Y
10014,臺東縣,10014040,卑南鄉,10014040-008,賓朗村,12,4,8,8,1,3,0,11,1,106Y
10014,臺東縣,10014130,延平鄉,10014130-002,永康村,6,4,2,5,0,1,0,6,0,106Y
10014,臺東縣,10014130,延平鄉,10014130-001,武陵村,3,1,2,3,0,0,0,3,0,106Y
10014,臺東縣,10014130,延平鄉,10014130-003,紅葉村,5,4,1,3,0,2,0,5,0,106Y
10014,臺東縣,10014130,延平鄉,10014130-005,桃源村,11,6,5,9,1,1,0,11,0,106Y
10014,臺東縣,10014130,延平鄉,10014130-004,鸞山村,5,3,2,5,0,0,0,5,0,106Y
10014,臺東縣,10014070,東河鄉,10014070-001,北源村,5,4,1,4,0,1,0,4,1,106Y
10014,臺東縣,10014070,東河鄉,10014070-003,東河村,3,1,2,2,1,0,0,3,0,106Y
10014,臺東縣,10014070,東河鄉,10014070-002,泰源村,6,2,4,6,0,0,0,6,0,106Y
10014,臺東縣,10014070,東河鄉,10014070-007,都蘭村,12,5,7,9,2,1,0,11,1,106Y
10014,臺東縣,10014070,東河鄉,10014070-005,隆昌村,1,1,0,1,0,0,0,1,0,106Y
10014,臺東縣,10014070,東河鄉,10014070-006,興昌村,5,5,0,3,1,1,0,5,0,106Y
10014,臺東縣,10014140,金峰鄉,10014140-002,正興村,5,2,3,4,0,1,0,5,0,106Y
10014,臺東縣,10014140,金峰鄉,10014140-001,新興村,4,3,1,3,1,0,0,4,0,106Y
10014,臺東縣,10014140,金峰鄉,10014140-003,嘉蘭村,19,8,11,10,1,8,0,19,0,106Y
10014,臺東縣,10014140,金峰鄉,10014140-004,賓茂村,2,2,0,2,0,0,0,2,0,106Y
10014,臺東縣,10014140,金峰鄉,10014140-005,歷坵村,7,4,3,6,0,1,0,7,0,106Y
10014,臺東縣,10014080,長濱鄉,10014080-002,三間村,6,1,5,5,0,1,0,5,1,106Y
10014,臺東縣,10014080,長濱鄉,10014080-005,竹湖村,8,3,5,5,2,1,0,8,0,106Y
10014,臺東縣,10014080,長濱鄉,10014080-003,忠勇村,2,1,1,1,0,1,0,2,0,106Y
10014,臺東縣,10014080,長濱鄉,10014080-004,長濱村,15,9,6,11,0,4,0,15,0,106Y
10014,臺東縣,10014080,長濱鄉,10014080-006,寧埔村,3,2,1,3,0,0,0,3,0,106Y
10014,臺東縣,10014080,長濱鄉,10014080-001,樟原村,5,3,2,5,0,0,0,5,0,106Y
10014,臺東縣,10014120,海端鄉,10014120-006,加拿村,4,1,3,3,0,1,0,4,0,106Y
10014,臺東縣,10014120,海端鄉,10014120-003,利稻村,4,3,1,4,0,0,0,4,0,106Y
10014,臺東縣,10014120,海端鄉,10014120-005,崁頂村,4,2,2,3,0,1,0,4,0,106Y
10014,臺東縣,10014120,海端鄉,10014120-004,海端村,8,4,4,7,0,1,0,7,1,106Y
10014,臺東縣,10014120,海端鄉,10014120-001,廣原村,10,3,7,8,0,2,0,10,0,106Y
10014,臺東縣,10014120,海端鄉,10014120-002,霧鹿村,5,3,2,3,0,2,0,5,0,106Y
10014,臺東縣,10014050,鹿野鄉,10014050-004,永安村,9,5,4,8,0,1,0,9,0,106Y
10014,臺東縣,10014050,鹿野鄉,10014050-006,鹿野村,7,0,7,7,0,0,0,7,0,106Y
10014,臺東縣,10014050,鹿野鄉,10014050-001,瑞和村,5,4,1,5,0,0,0,5,0,106Y
10014,臺東縣,10014050,鹿野鄉,10014050-005,瑞隆村,8,4,4,7,0,1,0,8,0,106Y
10014,臺東縣,10014050,鹿野鄉,10014050-003,瑞源村,9,3,6,8,0,1,0,9,0,106Y
10014,臺東縣,10014050,鹿野鄉,10014050-002,瑞豐村,3,0,3,2,0,1,0,3,0,106Y
10014,臺東縣,10014050,鹿野鄉,10014050-007,龍田村,4,3,1,4,0,0,0,2,2,106Y
10014,臺東縣,10014150,達仁鄉,10014150-002,土村,13,5,8,7,1,5,0,13,0,106Y
10014,臺東縣,10014150,達仁鄉,10014150-001,台村,7,4,3,5,0,2,0,7,0,106Y
10014,臺東縣,10014150,達仁鄉,10014150-004,安朔村,4,3,1,3,1,0,0,4,0,106Y
10014,臺東縣,10014150,達仁鄉,10014150-006,南田村,3,3,0,2,0,1,0,3,0,106Y
10014,臺東縣,10014150,達仁鄉,10014150-005,森永村,1,0,1,1,0,0,0,1,0,106Y
10014,臺東縣,10014150,達仁鄉,10014150-003,新化村,2,2,0,2,0,0,0,2,0,106Y
10014,臺東縣,10014110,綠島鄉,10014110-002,中寮村,10,6,4,9,0,1,0,9,1,106Y
10014,臺東縣,10014110,綠島鄉,10014110-001,公館村,9,6,3,9,0,0,0,9,0,106Y
10014,臺東縣,10014110,綠島鄉,10014110-003,南寮村,22,11,11,21,0,1,0,21,1,106Y
10014,臺東縣,10014010,臺東市,10014010-021,大同里,5,3,2,4,1,0,0,5,0,106Y
10014,臺東縣,10014010,臺東市,10014010-024,中山里,12,6,6,12,0,0,0,11,1,106Y
10014,臺東縣,10014010,臺東市,10014010-011,中心里,26,15,11,24,0,2,0,26,0,106Y
10014,臺東縣,10014010,臺東市,10014010-020,中正里,4,3,1,4,0,0,0,4,0,106Y
10014,臺東縣,10014010,臺東市,10014010-015,中華里,12,8,4,12,0,0,0,12,0,106Y
10014,臺東縣,10014010,臺東市,10014010-019,仁愛里,7,6,1,6,1,0,0,7,0,106Y
10014,臺東縣,10014010,臺東市,10014010-023,文化里,25,17,8,25,0,0,0,25,0,106Y
10014,臺東縣,10014010,臺東市,10014010-014,四維里,5,2,3,5,0,0,0,5,0,106Y
10014,臺東縣,10014010,臺東市,10014010-008,民生里,16,9,7,14,0,2,0,15,1,106Y
10014,臺東縣,10014010,臺東市,10014010-013,民族里,18,10,8,17,1,0,0,17,1,106Y
10014,臺東縣,10014010,臺東市,10014010-018,民權里,12,5,7,9,0,3,0,12,0,106Y
10014,臺東縣,10014010,臺東市,10014010-034,永樂里,16,6,10,14,1,1,0,16,0,106Y
10014,臺東縣,10014010,臺東市,10014010-032,光明里,27,8,19,26,0,1,0,26,1,106Y
10014,臺東縣,10014010,臺東市,10014010-022,成功里,5,2,3,5,0,0,0,5,0,106Y
10014,臺東縣,10014010,臺東市,10014010-012,自強里,31,14,17,29,2,0,0,29,2,106Y
10014,臺東縣,10014010,臺東市,10014010-005,卑南里,21,17,4,21,0,0,0,17,4,106Y
10014,臺東縣,10014010,臺東市,10014010-003,岩灣里,10,5,5,10,0,0,0,10,0,106Y
10014,臺東縣,10014010,臺東市,10014010-036,東海里,38,19,19,34,1,3,0,36,2,106Y
10014,臺東縣,10014010,臺東市,10014010-045,知本里,11,5,6,8,0,3,0,9,2,106Y
10014,臺東縣,10014010,臺東市,10014010-004,南王里,24,12,12,22,0,2,0,24,0,106Y
10014,臺東縣,10014010,臺東市,10014010-006,南榮里,20,10,10,17,0,3,0,20,0,106Y
10014,臺東縣,10014010,臺東市,10014010-042,建和里,9,5,4,9,0,0,0,8,1,106Y
10014,臺東縣,10014010,臺東市,10014010-017,建國里,8,4,4,7,0,1,0,8,0,106Y
10014,臺東縣,10014010,臺東市,10014010-044,建業里,13,5,8,11,0,2,0,13,0,106Y
10014,臺東縣,10014010,臺東市,10014010-046,建農里,20,8,12,18,0,2,0,20,0,106Y
10014,臺東縣,10014010,臺東市,10014010-043,建興里,9,4,5,9,0,0,0,7,2,106Y
10014,臺東縣,10014010,臺東市,10014010-010,馬蘭里,16,11,5,15,0,1,0,16,0,106Y
10014,臺東縣,10014010,臺東市,10014010-035,康樂里,8,4,4,7,0,1,0,8,0,106Y
10014,臺東縣,10014010,臺東市,10014010-016,強國里,7,4,3,7,0,0,0,7,0,106Y
10014,臺東縣,10014010,臺東市,10014010-001,富岡里,9,4,5,6,0,3,0,9,0,106Y
10014,臺東縣,10014010,臺東市,10014010-002,富豐里,9,4,5,7,0,2,0,9,0,106Y
10014,臺東縣,10014010,臺東市,10014010-025,復國里,2,1,1,1,0,1,0,2,0,106Y
10014,臺東縣,10014010,臺東市,10014010-027,復興里,2,2,0,2,0,0,0,2,0,106Y
10014,臺東縣,10014010,臺東市,10014010-007,新生里,44,23,21,41,0,3,0,43,1,106Y
10014,臺東縣,10014010,臺東市,10014010-029,新園里,18,13,5,14,1,3,0,17,1,106Y
10014,臺東縣,10014010,臺東市,10014010-037,新興里,7,5,2,7,0,0,0,6,1,106Y
10014,臺東縣,10014010,臺東市,10014010-026,興國里,15,11,4,15,0,0,0,15,0,106Y
10014,臺東縣,10014010,臺東市,10014010-030,豐田里,23,10,13,22,0,1,0,23,0,106Y
10014,臺東縣,10014010,臺東市,10014010-031,豐年里,29,12,17,26,2,1,0,28,1,106Y
10014,臺東縣,10014010,臺東市,10014010-039,豐谷里,44,26,18,40,0,4,0,43,1,106Y
10014,臺東縣,10014010,臺東市,10014010-040,豐里里,15,6,9,15,0,0,0,14,1,106Y
10014,臺東縣,10014010,臺東市,10014010-041,豐原里,12,6,6,9,1,2,0,12,0,106Y
10014,臺東縣,10014010,臺東市,10014010-038,豐榮里,56,28,28,51,1,4,0,51,5,106Y
10014,臺東縣,10014010,臺東市,10014010-033,豐樂里,10,3,7,9,0,1,0,10,0,106Y
10014,臺東縣,10014010,臺東市,10014010-009,寶桑里,7,4,3,7,0,0,0,6,1,106Y
10014,臺東縣,10014010,臺東市,10014010-028,鐵花里,2,2,0,2,0,0,0,2,0,106Y
10014,臺東縣,10014030,關山鎮,10014030-004,中福里,4,0,4,4,0,0,0,4,0,106Y
10014,臺東縣,10014030,關山鎮,10014030-007,月眉里,1,0,1,1,0,0,0,1,0,106Y
10014,臺東縣,10014030,關山鎮,10014030-005,里里,8,5,3,8,0,0,0,7,1,106Y
10014,臺東縣,10014030,關山鎮,10014030-003,新福里,11,6,5,9,0,2,0,10,1,106Y
10014,臺東縣,10014030,關山鎮,10014030-006,電光里,3,1,2,2,0,1,0,2,1,106Y
10014,臺東縣,10014030,關山鎮,10014030-001,德高里,10,2,8,9,0,1,0,10,0,106Y
10014,臺東縣,10014030,關山鎮,10014030-002,豐泉里,11,5,6,8,0,3,0,11,0,106Y
10014,臺東縣,10014160,蘭嶼鄉,10014160-001,東清村,16,7,9,14,0,2,0,16,0,106Y
10014,臺東縣,10014160,蘭嶼鄉,10014160-003,紅頭村,13,8,5,13,0,0,0,13,0,106Y
10014,臺東縣,10014160,蘭嶼鄉,10014160-002,朗島村,13,8,5,13,0,0,0,13,0,106Y
10014,臺東縣,10014160,蘭嶼鄉,10014160-004,椰油村,11,5,6,10,0,1,0,11,0,106Y
10014,臺東縣,10014100,大武鄉,10014100-001,大竹村,14,6,8,11,0,3,0,14,0,107Y
10014,臺東縣,10014100,大武鄉,10014100-003,大武村,15,8,7,12,0,3,0,15,0,107Y
10014,臺東縣,10014100,大武鄉,10014100-002,大鳥村,13,8,5,7,0,6,0,13,0,107Y
10014,臺東縣,10014100,大武鄉,10014100-004,尚武村,7,5,2,5,0,2,0,7,0,107Y
10014,臺東縣,10014100,大武鄉,10014100-005,南興村,6,5,1,4,1,1,0,6,0,107Y
10014,臺東縣,10014090,太麻里鄉,10014090-002,三和村,6,4,2,5,1,0,0,6,0,107Y
10014,臺東縣,10014090,太麻里鄉,10014090-006,大王村,19,8,11,18,1,0,0,18,1,107Y
10014,臺東縣,10014090,太麻里鄉,10014090-004,北里村,3,2,1,3,0,0,0,3,0,107Y
10014,臺東縣,10014090,太麻里鄉,10014090-009,多良村,8,4,4,7,1,0,0,8,0,107Y
10014,臺東縣,10014090,太麻里鄉,10014090-008,金崙村,15,6,9,13,0,2,0,15,0,107Y
10014,臺東縣,10014090,太麻里鄉,10014090-001,美和村,5,3,2,3,2,0,0,2,3,107Y
10014,臺東縣,10014090,太麻里鄉,10014090-007,香蘭村,5,3,2,4,0,1,0,4,1,107Y
10014,臺東縣,10014090,太麻里鄉,10014090-005,泰和村,11,5,6,7,0,4,0,11,0,107Y
10014,臺東縣,10014090,太麻里鄉,10014090-003,華源村,6,2,4,5,0,1,0,6,0,107Y
10014,臺東縣,10014020,成功鎮,10014020-003,三仙里,9,6,3,5,0,4,0,9,0,107Y
10014,臺東縣,10014020,成功鎮,10014020-004,三民里,14,7,7,14,0,0,0,13,1,107Y
10014,臺東縣,10014020,成功鎮,10014020-007,和平里,3,1,2,3,0,0,0,2,1,107Y
10014,臺東縣,10014020,成功鎮,10014020-006,忠仁里,12,9,3,12,0,0,0,11,1,107Y
10014,臺東縣,10014020,成功鎮,10014020-002,忠孝里,3,2,1,1,1,1,0,3,0,107Y
10014,臺東縣,10014020,成功鎮,10014020-005,忠智里,10,5,5,8,1,1,0,9,1,107Y
10014,臺東縣,10014020,成功鎮,10014020-008,信義里,14,5,9,13,0,1,0,13,1,107Y
10014,臺東縣,10014020,成功鎮,10014020-001,博愛里,1,1,0,1,0,0,0,1,0,107Y
10014,臺東縣,10014060,池上鄉,10014060-003,大坡村,3,2,1,2,0,1,0,3,0,107Y
10014,臺東縣,10014060,池上鄉,10014060-004,大埔村,6,2,4,6,0,0,0,6,0,107Y
10014,臺東縣,10014060,池上鄉,10014060-010,振興村,3,0,3,3,0,0,0,3,0,107Y
10014,臺東縣,10014060,池上鄉,10014060-007,新興村,5,0,5,4,1,0,0,4,1,107Y
10014,臺東縣,10014060,池上鄉,10014060-001,福文村,6,4,2,6,0,0,0,6,0,107Y
10014,臺東縣,10014060,池上鄉,10014060-005,福原村,14,8,6,13,1,0,0,14,0,107Y
10014,臺東縣,10014060,池上鄉,10014060-002,慶豐村,4,3,1,3,0,1,0,4,0,107Y
10014,臺東縣,10014060,池上鄉,10014060-006,錦園村,3,2,1,3,0,0,0,3,0,107Y
10014,臺東縣,10014040,卑南鄉,10014040-010,太平村,30,19,11,24,0,6,0,29,1,107Y
10014,臺東縣,10014040,卑南鄉,10014040-002,利吉村,3,0,3,2,1,0,0,3,0,107Y
10014,臺東縣,10014040,卑南鄉,10014040-011,利嘉村,15,9,6,13,0,2,0,15,0,107Y
10014,臺東縣,10014040,卑南鄉,10014040-005,明峰村,11,4,7,9,1,1,0,10,1,107Y
10014,臺東縣,10014040,卑南鄉,10014040-012,東興村,8,5,3,7,0,1,0,8,0,107Y
10014,臺東縣,10014040,卑南鄉,10014040-006,初鹿村,14,10,4,13,1,0,0,12,2,107Y
10014,臺東縣,10014040,卑南鄉,10014040-007,美農村,10,6,4,9,0,1,0,10,0,107Y
10014,臺東縣,10014040,卑南鄉,10014040-009,泰安村,9,3,6,8,0,1,0,8,1,107Y
10014,臺東縣,10014040,卑南鄉,10014040-003,富山村,4,2,2,2,0,2,0,4,0,107Y
10014,臺東縣,10014040,卑南鄉,10014040-013,溫泉村,7,2,5,7,0,0,0,5,2,107Y
10014,臺東縣,10014040,卑南鄉,10014040-001,嘉豐村,2,0,2,2,0,0,0,1,1,107Y
10014,臺東縣,10014040,卑南鄉,10014040-008,賓朗村,13,7,6,11,1,1,0,12,1,107Y
10014,臺東縣,10014130,延平鄉,10014130-002,永康村,6,4,2,6,0,0,0,6,0,107Y
10014,臺東縣,10014130,延平鄉,10014130-001,武陵村,13,6,7,11,1,1,0,13,0,107Y
10014,臺東縣,10014130,延平鄉,10014130-003,紅葉村,5,4,1,5,0,0,0,5,0,107Y
10014,臺東縣,10014130,延平鄉,10014130-005,桃源村,15,8,7,13,0,2,0,15,0,107Y
10014,臺東縣,10014130,延平鄉,10014130-004,鸞山村,9,4,5,8,0,1,0,9,0,107Y
10014,臺東縣,10014070,東河鄉,10014070-001,北源村,8,4,4,6,1,1,0,8,0,107Y
10014,臺東縣,10014070,東河鄉,10014070-004,尚德村,2,2,0,2,0,0,0,2,0,107Y
10014,臺東縣,10014070,東河鄉,10014070-003,東河村,9,7,2,8,0,1,0,9,0,107Y
10014,臺東縣,10014070,東河鄉,10014070-002,泰源村,6,2,4,6,0,0,0,5,1,107Y
10014,臺東縣,10014070,東河鄉,10014070-007,都蘭村,10,8,2,9,0,1,0,10,0,107Y
10014,臺東縣,10014070,東河鄉,10014070-005,隆昌村,2,0,2,2,0,0,0,2,0,107Y
10014,臺東縣,10014070,東河鄉,10014070-006,興昌村,3,1,2,3,0,0,0,3,0,107Y
10014,臺東縣,10014140,金峰鄉,10014140-002,正興村,6,2,4,6,0,0,0,6,0,107Y
10014,臺東縣,10014140,金峰鄉,10014140-001,新興村,8,4,4,8,0,0,0,8,0,107Y
10014,臺東縣,10014140,金峰鄉,10014140-003,嘉蘭村,21,10,11,16,0,5,0,21,0,107Y
10014,臺東縣,10014140,金峰鄉,10014140-004,賓茂村,2,1,1,2,0,0,0,2,0,107Y
10014,臺東縣,10014080,長濱鄉,10014080-002,三間村,7,4,3,7,0,0,0,7,0,107Y
10014,臺東縣,10014080,長濱鄉,10014080-005,竹湖村,4,1,3,3,0,1,0,4,0,107Y
10014,臺東縣,10014080,長濱鄉,10014080-003,忠勇村,1,1,0,1,0,0,0,1,0,107Y
10014,臺東縣,10014080,長濱鄉,10014080-004,長濱村,13,6,7,12,1,0,0,12,1,107Y
10014,臺東縣,10014080,長濱鄉,10014080-006,寧埔村,7,3,4,6,0,1,0,7,0,107Y
10014,臺東縣,10014080,長濱鄉,10014080-001,樟原村,3,0,3,3,0,0,0,3,0,107Y
10014,臺東縣,10014120,海端鄉,10014120-006,加拿村,6,2,4,3,0,3,0,6,0,107Y
10014,臺東縣,10014120,海端鄉,10014120-003,利稻村,7,4,3,7,0,0,0,7,0,107Y
10014,臺東縣,10014120,海端鄉,10014120-005,崁頂村,9,6,3,8,0,1,0,9,0,107Y
10014,臺東縣,10014120,海端鄉,10014120-004,海端村,6,3,3,6,0,0,0,5,1,107Y
10014,臺東縣,10014120,海端鄉,10014120-001,廣原村,11,7,4,9,0,2,0,11,0,107Y
10014,臺東縣,10014120,海端鄉,10014120-002,霧鹿村,4,3,1,3,0,1,0,4,0,107Y
10014,臺東縣,10014050,鹿野鄉,10014050-004,永安村,15,9,6,13,0,2,0,14,1,107Y
10014,臺東縣,10014050,鹿野鄉,10014050-006,鹿野村,3,1,2,3,0,0,0,2,1,107Y
10014,臺東縣,10014050,鹿野鄉,10014050-001,瑞和村,10,4,6,7,0,3,0,9,1,107Y
10014,臺東縣,10014050,鹿野鄉,10014050-005,瑞隆村,4,4,0,2,0,2,0,4,0,107Y
10014,臺東縣,10014050,鹿野鄉,10014050-003,瑞源村,3,3,0,3,0,0,0,2,1,107Y
